,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
109,12267,10,1FfaVh,Rayen,Pre-Trash,Female,Unmarried,cat,Marmalade,11420,mewmews,3.6 hours,1,2,3,2,2
110,5335,10,1JBHwz,Seb,Stan,Male,Unmarried,cat,Joseph,711470,Sebastian Sta,53.6 hours,10,10,10,10,9
111,15802,15,1CyW4a,Ian,Yuge,Male,Leah,dog,Desu,564946,Farming,40.8 hours,10,10,9,10,9
112,2044,15,1N85x1,Сара,Stella,Female,Unmarried,NA,NA,50,Коты,0.3 hours,0,0,0,0,0
113,3457,5,1Ll6oG,Kira,Journeys,Female,Unmarried,cat,Kana,255660,Cats,23.1 hours,9,6,7,10,5
114,5649,6,1JsbPH,Maclean,Ancient Evil,Male,Unmarried,dog,Pheagle,2394158,Frogs,118.4 hours,10,10,10,10,10
115,11668,6,1Frfnq,Kaity,Bees 'n' Trees,Female,Unmarried,cat,Flops,89008,music,10.4 hours,6,5,7,1,4
116,15105,9,1D3sxB,Luy Simoes,Luys Farm,Male,Unmarried,dog,Montanha,2163718,Dormir,115.5 hours,10,10,10,9,9
117,4823,7,1K3qFa,Liz,Porkbutt,Female,Unmarried,dog,Porky,223577,Banana bread,32.5 hours,10,7,8,3,4
118,10473,10,1G0Fa9,Josephine,Respite,Female,Shane,cat,Rosie,1900455,Candy,73.4 hours,10,10,10,10,10
119,12032,11,1Fjw4v,シノ,パンドラ,Female,Elliott,dog,キッド,15513804,ミステリー,98.0 hours,10,10,10,10,10
120,4186,14,1KRvDf,Менсикап,сосисочная,Male,Unmarried,cat,Сопелька,1186405,Масло,67.6 hours,10,9,9,8,8
121,2142,14,1MYAkA,Lucas,Limao's,Male,Unmarried,dog,Bingo,779335,Strogonoff,44.6 hours,10,9,9,8,9
122,10582,12,1FWlLu,uni,exo,Female,Sebastian,cat,Yoon,786867,exo,43.4 hours,,,,,
123,13827,11,1DXshx,Rolrayn,Dragoon,Male,Emily,cat,Dudley,748100,Teriyaki,51.5 hours,10,9,10,10,9
124,2527,6,1Mne3H,Meijina,Evil,Female,Shane,cat,Reaper,10977743,EEEVIL,139.5 hours,,,,,
125,2775,4,1M4FBg,Danty,Perereca,Male,Unmarried,dog,Bady,3906744,Mulherada,19.4 hours,10,7,5,10,5
126,6231,12,1J9g6l,Muad'Dib,Sietch Tabr,Male,Penny,cat,Little Maker,1808169,Spice,58.7 hours,10,10,9,9,9
127,1012,11,1P0mOy,MAO,VAlley,Male,Emily,cat,麦子,747192,Money,20.2 hours,10,5,10,8,6
128,6533,8,1IWTBQ,Leo,GoldFour,Male,Penny,dog,Rex,12518775,come um cu,85.9 hours,,,,,
129,12019,5,1FjMtf,Pear,Space Gay,Male,Harvey,cat,Sailor,1857437,Elderflowers,54.6 hours,10,9,10,9,9
130,4931,16,1JWXb1,grace,glop,Female,Unmarried,dog,Gunk,685892,glop,84.9 hours,10,10,9,9,10
131,14852,7,1DeHwk,Burble,Littlelick,Female,Abigail,cat,Miso,1371447,Dragon $^%*,31.8 hours,10,9,10,6,8
132,10179,15,1Ggmfo,Orchid,Sweetie,Female,Unmarried,cat,yaong,22294867,Sweet,124.8 hours,10,10,10,10,10
133,14872,9,1DdEH1,Ben,Jammin,Male,Elliott,dog,Doggo,23886102,ConcernedApe,109.4 hours,10,10,10,10,10
134,11687,10,1FqKGK,K,K,Male,Emily,cat,歪歪,21967736,爽,57.7 hours,10,10,10,10,10
135,14499,5,1DuvLR,Professel,Lalaland,Male,Unmarried,dog,Flint,29733851,Present,176.6 hours,,,,,
136,10473,9,1G0Fdv,酒醉大饕餮,酒醉大饕餮,Male,Penny,cat,xiexiexie,6198142,炒股,98.9 hours,10,10,10,10,10
137,732,6,1PAIQF,Ichchha,Perfection,Female,Unmarried,dog,Snooch,73906,Pizza,10.5 hours,5,4,4,10,4
138,5045,10,1JQ328,Ruby,rubyville,Male,Unmarried,dog,Turbo,110500,balloon,0.7 hours,0,1,4,0,0
139,15701,14,1CDfix,Izzie,Starfall,Female,Elliott,cat,Dumpling,2067935,Video Games,110.5 hours,10,9,10,10,9
140,6873,1,1IIcCX,host2,qqtalk,Female,Unmarried,cat,wayne,2099238,aaffd,40.5 hours,10,4,7,10,2
141,5830,15,1JnmVQ,Charlie,chuck buck's,Male,Unmarried,dog,cammile,21298411,concerndape,138.0 hours,10,10,10,10,10
142,7874,1,1HPmPQ,Izithel,Rustwell,Male,Unmarried,cat,Yuwa,7105501,Videogames,101.0 hours,10,10,10,10,10
